Starting Training Phase for Epoch 1/5
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [96.0, 101.0], Predicted Scores: [107.52384948730469, 106.11892700195312]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [70.0, 77.0], Predicted Scores: [107.92768096923828, 97.79031372070312]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [110.0, 116.0], Predicted Scores: [106.0625228881836, 104.44631958007812]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [99.0, 90.0], Predicted Scores: [108.74275207519531, 93.6673583984375]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [101.0, 94.0], Predicted Scores: [106.88410186767578, 99.26691436767578]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [117.0, 108.0], Predicted Scores: [95.04197692871094, 92.52859497070312]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [100.0, 73.0], Predicted Scores: [103.53641510009766, 99.3135757446289]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [94.0, 108.0], Predicted Scores: [101.66104888916016, 93.6969985961914]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [113.0, 109.0], Predicted Scores: [99.0302734375, 95.8198013305664]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [118.0, 108.0], Predicted Scores: [103.27400207519531, 97.81932830810547]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [121.0, 95.0], Predicted Scores: [110.27378845214844, 103.20466613769531]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [94.0, 91.0], Predicted Scores: [91.73725891113281, 87.11186981201172]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [101.0, 91.0], Predicted Scores: [99.78520202636719, 93.84837341308594]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [94.0, 103.0], Predicted Scores: [100.92476654052734, 89.28759765625]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [104.0, 100.0], Predicted Scores: [106.37422180175781, 103.31653594970703]
Epoch 1, Batch 0, Game ID: None, MSE Loss: 163.8312, Percentage Loss: 10.69%, Actual Scores: [101.0, 95.0], Predicted Scores: [106.89913940429688, 98.80013275146484]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 199.7724, Percentage Loss: 10.96%, Actual Scores: [81.0, 89.0], Predicted Scores: [102.60331726074219, 102.07061767578125]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 199.7724, Percentage Loss: 10.96%, Actual Scores: [99.0, 106.0], Predicted Scores: [101.15270233154297, 96.15239715576172]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 199.7724, Percentage Loss: 10.96%, Actual Scores: [139.0, 105.0], Predicted Scores: [104.8177719116211, 99.69706726074219]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 199.7724, Percentage Loss: 10.96%, Actual Scores: [125.0, 105.0], Predicted Scores: [95.99638366699219, 89.00923156738281]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 199.7724, Percentage Loss: 10.96%, Actual Scores: [101.0, 93.0], Predicted Scores: [103.88499450683594, 97.64773559570312]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 199.7724, Percentage Loss: 10.96%, Actual Scores: [122.0, 100.0], Predicted Scores: [106.30938720703125, 96.26133728027344]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 199.7724, Percentage Loss: 10.96%, Actual Scores: [114.0, 98.0], Predicted Scores: [106.42382049560547, 103.67145538330078]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 199.7724, Percentage Loss: 10.96%, Actual Scores: [101.0, 108.0], Predicted Scores: [102.37413024902344, 101.89080810546875]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 199.7724, Percentage Loss: 10.96%, Actual Scores: [88.0, 92.0], Predicted Scores: [101.29417419433594, 94.30307006835938]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 199.7724, Percentage Loss: 10.96%, Actual Scores: [108.0, 83.0], Predicted Scores: [111.61930847167969, 102.92496490478516]
Epoch 1, Batch 1, Game ID: None, MSE Loss: 199.7724, Percentage Loss: 10.96%, Actual Scores: [87.0, 100.0], Predicted Scores: [103.33495330810547, 99.68418884277344]
