2024-12-04 11:40:06,459 - INFO - Starting Training Phase for Epoch 1/10
2024-12-04 11:40:06,637 - INFO - Epoch 1, Batch 0, Game Index: 0, MSE Loss: 10699.8916, Percentage Loss: 100.14%, Actual Scores: [95.0, 92.0], Predicted Scores: [-0.06422276794910431, -0.04141179472208023]
2024-12-04 11:40:06,638 - INFO - Epoch 1, Batch 0, Game Index: 1, MSE Loss: 10699.8916, Percentage Loss: 100.14%, Actual Scores: [129.0, 119.0], Predicted Scores: [-0.17435535788536072, -0.21918083727359772]
2024-12-04 11:40:06,638 - INFO - Epoch 1, Batch 0, Game Index: 2, MSE Loss: 10699.8916, Percentage Loss: 100.14%, Actual Scores: [111.0, 103.0], Predicted Scores: [-0.1270574927330017, -0.2711378037929535]
2024-12-04 11:40:06,638 - INFO - Epoch 1, Batch 0, Game Index: 3, MSE Loss: 10699.8916, Percentage Loss: 100.14%, Actual Scores: [99.0, 115.0], Predicted Scores: [-0.2202482521533966, -0.3132185935974121]
2024-12-04 11:40:06,638 - INFO - Epoch 1, Batch 0, Game Index: 4, MSE Loss: 10699.8916, Percentage Loss: 100.14%, Actual Scores: [112.0, 100.0], Predicted Scores: [-0.2541501522064209, -0.06515296548604965]
2024-12-04 11:40:06,638 - INFO - Epoch 1, Batch 0, Game Index: 5, MSE Loss: 10699.8916, Percentage Loss: 100.14%, Actual Scores: [106.0, 97.0], Predicted Scores: [-0.2710915505886078, -0.3514748215675354]
2024-12-04 11:40:06,638 - INFO - Epoch 1, Batch 0, Game Index: 6, MSE Loss: 10699.8916, Percentage Loss: 100.14%, Actual Scores: [117.0, 101.0], Predicted Scores: [-0.1496468186378479, -0.2691528797149658]
2024-12-04 11:40:06,638 - INFO - Epoch 1, Batch 0, Game Index: 7, MSE Loss: 10699.8916, Percentage Loss: 100.14%, Actual Scores: [113.0, 100.0], Predicted Scores: [0.04723883047699928, -0.18863534927368164]
2024-12-04 11:40:06,638 - INFO - Epoch 1, Batch 0, Game Index: 8, MSE Loss: 10699.8916, Percentage Loss: 100.14%, Actual Scores: [91.0, 98.0], Predicted Scores: [0.09576209634542465, -0.2813396155834198]
2024-12-04 11:40:06,638 - INFO - Epoch 1, Batch 0, Game Index: 9, MSE Loss: 10699.8916, Percentage Loss: 100.14%, Actual Scores: [103.0, 86.0], Predicted Scores: [-0.0441778302192688, -0.14460083842277527]
2024-12-04 11:40:06,639 - INFO - Epoch 1, Batch 0, Game Index: 10, MSE Loss: 10699.8916, Percentage Loss: 100.14%, Actual Scores: [108.0, 118.0], Predicted Scores: [0.16530415415763855, 0.09886904060840607]
2024-12-04 11:40:06,639 - INFO - Epoch 1, Batch 0, Game Index: 11, MSE Loss: 10699.8916, Percentage Loss: 100.14%, Actual Scores: [85.0, 96.0], Predicted Scores: [0.17063400149345398, -0.19118539988994598]
2024-12-04 11:40:06,639 - INFO - Epoch 1, Batch 0, Game Index: 12, MSE Loss: 10699.8916, Percentage Loss: 100.14%, Actual Scores: [97.0, 100.0], Predicted Scores: [-0.08802496641874313, -0.32372939586639404]
